Cor2 Halo,Cor2 Pa,Cor2 Tf,Cor2 Time,Cor2 Ts,Cor2 Type,Cor2 Vmax,Cor2 Vmin,Cor2 Vsigma,Cor2 V,Cor2 Width,Document Index (generated),Fl Endtime,Fl Goes,Fl Loc,Fl Peaktime,Fl Starttime,Fl Tf,Fl Ts,Fl Type,Hel Id,Hi Pan,Hi Pas,Hi Sc,Hi Time,Number of Records per fcast.json,Number of Records,Smart Bipolesep,Smart Bmax,Smart Bmean,Smart Bmin,Smart Frcflx,Smart Hglatlon,Smart Limb,Smart Negarea,Smart Negflx,Smart Posarea,Smart Posflx,Smart Psllen,Smart Rvalue,Smart Time,Smart Totarea,Smart Totflx,Smart Wlsg,Srs Area,Srs Hale,Srs Ll,Srs Loc,Srs Mcintosh,Srs Nn,Srs No,Srs Time,Abs Neg Dedt In,Abs Neg Dedt Sh,Abs Neg Dhdt In,Abs Neg Dhdt Sh,Abs Tot Dedt,Abs Tot Dedt In,Abs Tot Dedt In Plus Sh,Abs Tot Dedt Sh,Abs Tot Dhdt,Abs Tot Dhdt In,Abs Tot Dhdt In Plus Sh,Abs Tot Dhdt Sh,Alpha,ave (FC data.sharp kw.hgradbh),ave (FC data.sharp kw.hz),ave (FC data.sharp kw.jz),ave (FC data.sharp kw.usflux),ave (FC data.sharp kw.ushz),ave (FC data.sharp kw.usiz),Fc Data Q,Fit R,Ising Energy,kurtosis (FC data.sharp kw.hgradbh),kurtosis (FC data.sharp kw.hz),kurtosis (FC data.sharp kw.jz),kurtosis (FC data.sharp kw.usflux),kurtosis (FC data.sharp kw.ushz),kurtosis (FC data.sharp kw.usiz),L Over Min Hmin,L Over Minhmin,Lmax Over Hmin,max (FC data.sharp kw.hgradbh),max (FC data.sharp kw.hz),max (FC data.sharp kw.jz),max (FC data.sharp kw.usflux),max (FC data.sharp kw.ushz),max (FC data.sharp kw.usiz),Max L Over Hmin,Maxl Over Hmin,median (FC data.sharp kw.hgradbh),median (FC data.sharp kw.hz),median (FC data.sharp kw.jz),median (FC data.sharp kw.usflux),median (FC data.sharp kw.ushz),median (FC data.sharp kw.usiz),Num Neg,Num Pos,Pos Dedt In,Pos Dedt Sh,Pos Dhdt In,Pos Dhdt Sh,R Value Blos Logr,R Value Br Logr,Sigma,skewness (FC data.sharp kw.hgradbh),skewness (FC data.sharp kw.hz),skewness (FC data.sharp kw.jz),skewness (FC data.sharp kw.usflux),skewness (FC data.sharp kw.ushz),skewness (FC data.sharp kw.usiz),stddev (FC data.sharp kw.hgradbh),stddev (FC data.sharp kw.hz),stddev (FC data.sharp kw.jz),stddev (FC data.sharp kw.usflux),stddev (FC data.sharp kw.ushz),stddev (FC data.sharp kw.usiz),Tot L Over Hmin,Tot Len Pil,Tot Uns Dedt,Tot Uns Dedt In,Tot Uns Dedt Sh,Tot Uns Dhdt,Tot Uns Dhdt In,Tot Uns Dhdt Sh,total (FC data.sharp kw.hgradbh),total (FC data.sharp kw.hz),total (FC data.sharp kw.jz),total (FC data.sharp kw.usflux),total (FC data.sharp kw.ushz),total (FC data.sharp kw.usiz),Value Int,Value Tot
 ,0, 2-Sep-2007 09:32:42.000, , 1-Sep-2007 21:57:00.000, ,0,0,0,0,0,11, 1-Sep-2007 21:09:00.000,B1.1,S08W74, 1-Sep-2007 21:06:00.000, 1-Sep-2007 21:03:00.000, 1-Sep-2007 21:35:16.875, 1-Sep-2007 20:30:07.500,swpc,HCME_B__20070902_01,285,250,B, 2-Sep-2007 10:50:00.000,1,1,16.8942585,755.5669556,3.945749283,-1555.79895,-0.090787083,S06W70,IV,209.491394,3.44E+21,132.7568359,1.88E+21,99.17113495,87835, 1-Sep-2007 22:24:27.000,342.2482605,1.71E+22,27152.06641,120,Beta,5,S08W58,Dso,4,969, 1-Sep-2007 00:30:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,291,51:42.0,37:57.2,16:00.0,CME,480,304,58,378,20,12,37:36.0,,S09W44,33:34.0,32:20.0,16:14.1,11:04.7,hessi,HCME_B__20071215_01,305,280,B,09:00.0,1,1,74.35977936,2073.713135,-8.934499741,-1972.557861,-0.031530254,S10W43, ,780.5144653,1.52E+22,660.447876,1.36E+22,124.7449493,45374.39453,33:42.0,1440.962402,4.81E+22,67069.44531,290,Beta,10,S09W40,Dkc,25,978,30:00.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0,11:42.0, ,36:00.0, ,0,0,0,0,0,13,25:20.0,,S09W61,22:06.0,21:56.0,14:16.9,09:07.5,hessi,HCME_B__20071216_01,305,275,B,29:00.0,1,1,65.49213409,1771.286377,9.419054031,-1800.217285,0.028043881,S10W58, ,702.5415039,1.27E+22,714.0891113,1.42E+22,129.7523499,47516.38672,21:42.0,1416.630737,5.19E+22,68707.03125,340,Beta,10,S10W52,Dac,29,978,30:00.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,85, 2-Jan-2008 12:11:42.000, 2-Jan-2008 10:37:30.005, 2-Jan-2008 00:36:00.000,CME,657,378,71,500,108,14, 2-Jan-2008 09:15:36.000,C1.2*,S05E82, 2-Jan-2008 09:12:26.000, 2-Jan-2008 09:11:52.000, 2-Jan-2008 10:15:46.880, 2-Jan-2008 09:10:37.505,hessi,HCME_A__20080102_01,20,150,A, 2-Jan-2008 13:29:00.000,1,1,39.93999863,976.6419067,-7.079525471,-2016.330322,-0.007887268,N05E65,IV,540.8396606,7.97E+21,528.6497192,7.24E+21,121499.0547,967691.125, 2-Jan-2008 09:12:42.000,1069.48938,9.19E+22,127436544,0, ,0, , ,0,0, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,95,31:42.0,37:30.0,56:00.0,CME,1388,378,284,833,84,15,13:00.0,M1.7,S13E78,56:00.0,36:00.0,15:46.9,10:37.5,swpc,HCME_A__20080325_01,55,130,A,49:00.0,1,1,22.39718819,2392.74292,3.944877625,-1727.214111,0.151591718,S11E78,IV,235.1970367,4.41E+21,318.344574,7.72E+21,449.7784729,538198,55:42.0,553.5415649,2.18E+22,224340.3281,50,Alpha,2,S10E77,Hax,1,989,30:00.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,83,31:42.0,37:30.0,56:00.0,CME,694,347,88,500,112,16,38:00.0,B3.8,N08E09,08:00.0,54:00.0,15:46.9,10:37.5,swpc,HCME_A__20080426_01,30,140,A,49:00.0,1,1,48.74956131,816.5985107,13.70742512,-710.7545776,0.084815651,N09E09, ,35.11851883,5.01E+20,63.06216431,8.89E+20,3.048872709,5776,23:42.0,98.18068695,4.56E+21,173.3104706,0, ,0, , ,0,0, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,102,11:42.0,37:30.0,36:00.0,CME,1136,543,172,863,58,17,32:00.0,B1.7, ,16:00.0,05:00.0,15:46.9,10:37.5,swpc,HCME_A__20080517_01,50,130,A,29:00.0,1,1,0,0,0,0,0, , ,0,0,0,0,0,0, ,0,0,0,0, ,0, , ,0,0, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,284, 4-Nov-2008 06:51:42.000, 4-Nov-2008 03:38:19.273, 3-Nov-2008 19:16:00.000,CME,1041,297,194,568,42,18, 4-Nov-2008 03:14:40.000,,N37W45, 4-Nov-2008 03:12:46.000, 4-Nov-2008 03:10:00.000, 4-Nov-2008 03:16:36.148, 4-Nov-2008 02:11:26.773,hessi,HCME_B__20081104_01,290,255,B, 4-Nov-2008 08:09:00.000,1,1,60.15177536,1531.383179,-10.16281033,-1653.482788,-0.097968511,N35W40, ,99.65897369,1.79E+21,56.32238388,1.04E+21,36.1165123,16057.90332, 4-Nov-2008 03:12:42.000,155.9813538,7.68E+21,30203.78125,80,Beta,8,N35W38,Dso,8,1007, 4-Nov-2008 00:30:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IV,45,11:42.0,07:30.0,36:00.0,Flow,1785,1785,0,1785,128,19,33:24.0,,S26W90,31:42.0,31:08.0,45:46.9,40:37.5,hessi,HCME_A__20081212_01,30,125,A,29:00.0,1,1,0,0,0,0,0, , ,0,0,0,0,0,0, ,0,0,0,20,Beta,5,S25W73,Bxo,2,1009,30:00.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,95,11:42.0,37:30.0,36:00.0,CME,500,240,86,312,56,20,42:00.0,B1.3, ,11:00.0,00:00.0,15:46.9,10:37.5,swpc,HCME_A__20090211_01,85,110,A,29:00.0,1,1,0,0,0,0,0, , ,0,0,0,0,0,0, ,0,0,0,0, ,0, , ,0,0, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
